rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2017-01-31,"NAVER(035420), LG화학(051910)",삼성바이오로직스(207940),"현대모비스(012330), KB금융(105560)",우위재평가/리밸런싱,"현대모비스(012330) 54.6%, 30d; KB금융(105560) 19.7%, 120d; NAVER(035420) 6.3%, 0d; LG화학(051910) 19.4%, 0d"
2017-02-28,"SK텔레콤(017670), 셀트리온(068270)","KB금융(105560), NAVER(035420)","LG화학(051910), 현대모비스(012330)",우위재평가/리밸런싱,"LG화학(051910) 36.7%, 30d; 현대모비스(012330) 5.3%, 60d; SK텔레콤(017670) 42.5%, 0d; 셀트리온(068270) 15.5%, 0d"
2017-03-31,"NAVER(035420), 현대일렉트릭(267260)",LG화학(051910),"SK텔레콤(017670), 현대모비스(012330), 셀트리온(068270)",우위재평가/리밸런싱,"SK텔레콤(017670) 11.3%, 30d; 현대모비스(012330) 20.4%, 90d; 셀트리온(068270) 16.7%, 30d; NAVER(035420) 48.8%, 0d; 현대일렉트릭(267260) 2.8%, 0d"
2017-04-30,"SK텔레콤(017670), 삼성바이오로직스(207940)",현대모비스(012330),"셀트리온(068270), 현대일렉트릭(267260), NAVER(035420)",우위재평가/리밸런싱,"셀트리온(068270) 12.2%, 60d; 현대일렉트릭(267260) 32.6%, 30d; NAVER(035420) 18.8%, 30d; SK텔레콤(017670) 21.9%, 60d; 삼성바이오로직스(207940) 14.5%, 0d"
2017-05-31,"삼성전자(005930), SK이노베이션(096770)","현대일렉트릭(267260), 삼성바이오로직스(207940)","NAVER(035420), 셀트리온(068270), SK텔레콤(017670)",우위재평가/리밸런싱,"NAVER(035420) 43.3%, 60d; 셀트리온(068270) 21.8%, 90d; SK텔레콤(017670) 1.1%, 90d; 삼성전자(005930) 3.6%, 0d; SK이노베이션(096770) 30.2%, 0d"
2017-06-30,"삼성전자(005930), SK하이닉스(000660)","셀트리온(068270), SK텔레콤(017670)","SK이노베이션(096770), NAVER(035420)",우위재평가/리밸런싱,"SK이노베이션(096770) 14.8%, 30d; NAVER(035420) 27.3%, 90d; 삼성전자(005930) 28.8%, 30d; SK하이닉스(000660) 29.1%, 0d"
2017-07-31,SK텔레콤(017670),"삼성전자(005930), SK하이닉스(000660)","NAVER(035420), SK이노베이션(096770)",우위재평가/리밸런싱,"NAVER(035420) 1.9%, 120d; SK이노베이션(096770) 9.7%, 60d; SK텔레콤(017670) 88.4%, 0d"
2017-08-31,"LG화학(051910), 현대모비스(012330)",-,"SK텔레콤(017670), NAVER(035420), SK이노베이션(096770)",우위재평가/리밸런싱,"SK텔레콤(017670) 8.7%, 30d; NAVER(035420) 13.7%, 150d; SK이노베이션(096770) 50.8%, 90d; LG화학(051910) 0.2%, 0d; 현대모비스(012330) 26.6%, 0d"
2017-09-30,"SK이노베이션(096770), 삼성바이오로직스(207940)",NAVER(035420),"LG화학(051910), 현대모비스(012330), SK텔레콤(017670)",우위재평가/리밸런싱,"LG화학(051910) 1.6%, 30d; 현대모비스(012330) 12.0%, 30d; SK텔레콤(017670) 34.5%, 60d; SK이노베이션(096770) 36.3%, 120d; 삼성바이오로직스(207940) 15.6%, 0d"
2017-10-31,"SK하이닉스(000660), KB금융(105560)","LG화학(051910), SK이노베이션(096770), SK텔레콤(017670)","현대모비스(012330), 삼성바이오로직스(207940)",우위재평가/리밸런싱,"현대모비스(012330) 18.2%, 60d; 삼성바이오로직스(207940) 30.6%, 30d; SK하이닉스(000660) 44.1%, 0d; KB금융(105560) 7.1%, 0d"
2017-11-30,"현대일렉트릭(267260), 삼성전자(005930)",-,"현대모비스(012330), 삼성바이오로직스(207940), KB금융(105560), SK하이닉스(000660)",우위재평가/리밸런싱,"현대모비스(012330) 61.2%, 90d; 삼성바이오로직스(207940) 11.5%, 60d; KB금융(105560) 16.0%, 30d; SK하이닉스(000660) 8.4%, 30d; 현대일렉트릭(267260) 2.2%, 0d; 삼성전자(005930) 0.7%, 0d"
2017-12-31,"KB금융(105560), 셀트리온(068270)","삼성전자(005930), 현대모비스(012330)","SK하이닉스(000660), 삼성바이오로직스(207940), 현대일렉트릭(267260)",우위재평가/리밸런싱,"SK하이닉스(000660) 29.0%, 60d; 삼성바이오로직스(207940) 0.1%, 90d; 현대일렉트릭(267260) 13.0%, 30d; KB금융(105560) 40.6%, 60d; 셀트리온(068270) 17.3%, 0d"
2018-01-31,"현대모비스(012330), 삼성바이오로직스(207940)",SK하이닉스(000660),"셀트리온(068270), KB금융(105560), 현대일렉트릭(267260)",우위재평가/리밸런싱,"셀트리온(068270) 18.8%, 30d; KB금융(105560) 16.7%, 90d; 현대일렉트릭(267260) 0.9%, 60d; 현대모비스(012330) 55.0%, 0d; 삼성바이오로직스(207940) 8.6%, 120d"
2018-02-28,"LG화학(051910), SK텔레콤(017670)","셀트리온(068270), KB금융(105560)","삼성바이오로직스(207940), 현대모비스(012330), 현대일렉트릭(267260)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 10.5%, 150d; 현대모비스(012330) 20.9%, 30d; 현대일렉트릭(267260) 11.2%, 90d; LG화학(051910) 20.8%, 0d; SK텔레콤(017670) 36.6%, 0d"
2018-03-31,"SK하이닉스(000660), NAVER(035420)","삼성바이오로직스(207940), LG화학(051910), SK텔레콤(017670)","현대일렉트릭(267260), 현대모비스(012330)",우위재평가/리밸런싱,"현대일렉트릭(267260) 0.5%, 120d; 현대모비스(012330) 30.3%, 60d; SK하이닉스(000660) 61.2%, 0d; NAVER(035420) 8.0%, 0d"
2018-04-30,"HD현대중공업(329180), KB금융(105560)",-,"현대일렉트릭(267260), NAVER(035420), 현대모비스(012330), SK하이닉스(000660)",우위재평가/리밸런싱,"현대일렉트릭(267260) 15.1%, 150d; NAVER(035420) 0.9%, 30d; 현대모비스(012330) 11.2%, 90d; SK하이닉스(000660) 47.5%, 30d; HD현대중공업(329180) 7.7%, 0d; KB금융(105560) 17.6%, 0d"
2018-05-31,"LG화학(051910), 현대일렉트릭(267260)","SK하이닉스(000660), 현대모비스(012330)","HD현대중공업(329180), NAVER(035420), KB금융(105560)",우위재평가/리밸런싱,"HD현대중공업(329180) 39.6%, 30d; NAVER(035420) 19.0%, 60d; KB금융(105560) 3.2%, 30d; LG화학(051910) 5.4%, 0d; 현대일렉트릭(267260) 32.8%, 180d"
2018-06-30,"삼성바이오로직스(207940), SK이노베이션(096770)","LG화학(051910), HD현대중공업(329180)","NAVER(035420), KB금융(105560), 현대일렉트릭(267260)",우위재평가/리밸런싱,"NAVER(035420) 0.4%, 90d; KB금융(105560) 22.3%, 60d; 현대일렉트릭(267260) 1.1%, 210d; 삼성바이오로직스(207940) 38.8%, 0d; SK이노베이션(096770) 37.4%, 0d"
2018-07-31,SK텔레콤(017670),"현대일렉트릭(267260), 삼성바이오로직스(207940), SK이노베이션(096770)","NAVER(035420), KB금융(105560)",우위재평가/리밸런싱,"NAVER(035420) 4.9%, 120d; KB금융(105560) 80.4%, 90d; SK텔레콤(017670) 14.7%, 0d"
2018-08-31,"현대일렉트릭(267260), SK하이닉스(000660)",-,"KB금융(105560), NAVER(035420), SK텔레콤(017670)",우위재평가/리밸런싱,"KB금융(105560) 12.7%, 120d; NAVER(035420) 11.2%, 150d; SK텔레콤(017670) 58.7%, 30d; 현대일렉트릭(267260) 13.8%, 0d; SK하이닉스(000660) 3.6%, 0d"
2018-09-30,삼성바이오로직스(207940),"NAVER(035420), SK하이닉스(000660), KB금융(105560)","현대일렉트릭(267260), SK텔레콤(017670)",우위재평가/리밸런싱,"현대일렉트릭(267260) 46.1%, 30d; SK텔레콤(017670) 31.2%, 60d; 삼성바이오로직스(207940) 22.7%, 0d"
2018-10-31,HD현대중공업(329180),삼성바이오로직스(207940),"현대일렉트릭(267260), SK텔레콤(017670)",우위재평가/리밸런싱,"현대일렉트릭(267260) 33.0%, 60d; SK텔레콤(017670) 56.5%, 90d; HD현대중공업(329180) 10.5%, 0d"
2018-11-30,"LG화학(051910), 현대모비스(012330), KB금융(105560)",-,"HD현대중공업(329180), 현대일렉트릭(267260), SK텔레콤(017670)",우위재평가/리밸런싱,"HD현대중공업(329180) 44.2%, 30d; 현대일렉트릭(267260) 7.1%, 90d; SK텔레콤(017670) 5.8%, 120d; LG화학(051910) 26.5%, 0d; 현대모비스(012330) 10.4%, 0d; KB금융(105560) 6.0%, 0d"
2018-12-31,"삼성전자(005930), 삼성바이오로직스(207940)","현대일렉트릭(267260), LG화학(051910), SK텔레콤(017670), 현대모비스(012330)","HD현대중공업(329180), KB금융(105560)",우위재평가/리밸런싱,"HD현대중공업(329180) 43.8%, 60d; KB금융(105560) 17.5%, 30d; 삼성전자(005930) 15.8%, 0d; 삼성바이오로직스(207940) 22.9%, 0d"
2019-01-31,"LG화학(051910), 현대모비스(012330)",삼성전자(005930),"삼성바이오로직스(207940), KB금융(105560), HD현대중공업(329180)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 45.7%, 30d; KB금융(105560) 0.2%, 60d; HD현대중공업(329180) 9.4%, 90d; LG화학(051910) 17.6%, 0d; 현대모비스(012330) 27.1%, 0d"
2019-02-28,현대모비스(012330),"삼성바이오로직스(207940), HD현대중공업(329180)","LG화학(051910), KB금융(105560)",우위재평가/리밸런싱,"LG화학(051910) 58.4%, 30d; KB금융(105560) 34.8%, 90d; 현대모비스(012330) 6.8%, 30d"
2019-03-31,"셀트리온(068270), SK텔레콤(017670), SK이노베이션(096770)",-,"현대모비스(012330), KB금융(105560), LG화학(051910)",우위재평가/리밸런싱,"현대모비스(012330) 11.9%, 60d; KB금융(105560) 9.1%, 120d; LG화학(051910) 28.2%, 60d; 셀트리온(068270) 41.3%, 0d; SK텔레콤(017670) 0.8%, 0d; SK이노베이션(096770) 8.7%, 0d"
2019-04-30,"셀트리온(068270), NAVER(035420)",현대모비스(012330),"SK이노베이션(096770), LG화학(051910), KB금융(105560), SK텔레콤(017670)",우위재평가/리밸런싱,"SK이노베이션(096770) 9.6%, 30d; LG화학(051910) 25.4%, 90d; KB금융(105560) 53.2%, 150d; SK텔레콤(017670) 2.3%, 30d; 셀트리온(068270) 1.2%, 30d; NAVER(035420) 8.3%, 0d"
2019-05-31,"삼성바이오로직스(207940), SK이노베이션(096770)",SK텔레콤(017670),"LG화학(051910), 셀트리온(068270), NAVER(035420), KB금융(105560)",우위재평가/리밸런싱,"LG화학(051910) 49.9%, 120d; 셀트리온(068270) 3.5%, 60d; NAVER(035420) 4.4%, 30d; KB금융(105560) 27.3%, 180d; 삼성바이오로직스(207940) 14.6%, 0d; SK이노베이션(096770) 0.3%, 60d"
2019-06-30,"SK하이닉스(000660), HD현대중공업(329180)","NAVER(035420), 삼성바이오로직스(207940), LG화학(051910), 셀트리온(068270)","SK이노베이션(096770), KB금융(105560)",우위재평가/리밸런싱,"SK이노베이션(096770) 26.0%, 90d; KB금융(105560) 37.2%, 210d; SK하이닉스(000660) 30.8%, 0d; HD현대중공업(329180) 6.0%, 0d"
2019-07-31,"HD현대중공업(329180), SK텔레콤(017670)",-,"KB금융(105560), SK하이닉스(000660), SK이노베이션(096770)",우위재평가/리밸런싱,"KB금융(105560) 31.4%, 240d; SK하이닉스(000660) 39.4%, 30d; SK이노베이션(096770) 17.4%, 120d; HD현대중공업(329180) 3.4%, 30d; SK텔레콤(017670) 8.4%, 0d"
2019-08-31,"삼성바이오로직스(207940), HD현대중공업(329180)","SK하이닉스(000660), SK이노베이션(096770)","SK텔레콤(017670), KB금융(105560)",우위재평가/리밸런싱,"SK텔레콤(017670) 2.3%, 30d; KB금융(105560) 22.7%, 270d; 삼성바이오로직스(207940) 46.8%, 0d; HD현대중공업(329180) 28.2%, 60d"
2019-09-30,"KB금융(105560), 삼성전자(005930)",-,"SK텔레콤(017670), 삼성바이오로직스(207940), HD현대중공업(329180)",우위재평가/리밸런싱,"SK텔레콤(017670) 39.0%, 60d; 삼성바이오로직스(207940) 17.6%, 30d; HD현대중공업(329180) 27.1%, 90d; KB금융(105560) 16.2%, 300d; 삼성전자(005930) 0.1%, 0d"
2019-10-31,"KB금융(105560), NAVER(035420)","SK텔레콤(017670), HD현대중공업(329180)","삼성전자(005930), 삼성바이오로직스(207940)",우위재평가/리밸런싱,"삼성전자(005930) 57.6%, 30d; 삼성바이오로직스(207940) 30.1%, 60d; KB금융(105560) 1.4%, 330d; NAVER(035420) 10.9%, 0d"
2019-11-30,"현대일렉트릭(267260), 셀트리온(068270)",KB금융(105560),"삼성전자(005930), 삼성바이오로직스(207940), NAVER(035420)",우위재평가/리밸런싱,"삼성전자(005930) 30.1%, 60d; 삼성바이오로직스(207940) 14.6%, 90d; NAVER(035420) 5.2%, 30d; 현대일렉트릭(267260) 47.5%, 0d; 셀트리온(068270) 2.6%, 0d"
2019-12-31,"SK텔레콤(017670), SK하이닉스(000660)",현대일렉트릭(267260),"NAVER(035420), 삼성전자(005930), 셀트리온(068270), 삼성바이오로직스(207940)",우위재평가/리밸런싱,"NAVER(035420) 0.8%, 60d; 삼성전자(005930) 28.9%, 90d; 셀트리온(068270) 16.2%, 30d; 삼성바이오로직스(207940) 21.4%, 120d; SK텔레콤(017670) 32.6%, 0d; SK하이닉스(000660) 0.1%, 0d"
2020-01-31,"현대일렉트릭(267260), SK하이닉스(000660)",삼성전자(005930),"NAVER(035420), 삼성바이오로직스(207940), SK텔레콤(017670), 셀트리온(068270)",우위재평가/리밸런싱,"NAVER(035420) 5.4%, 90d; 삼성바이오로직스(207940) 3.4%, 150d; SK텔레콤(017670) 30.5%, 30d; 셀트리온(068270) 33.2%, 60d; 현대일렉트릭(267260) 9.4%, 0d; SK하이닉스(000660) 18.1%, 30d"
2020-02-29,"삼성전자(005930), HD현대중공업(329180)","NAVER(035420), 삼성바이오로직스(207940), SK텔레콤(017670)","셀트리온(068270), SK하이닉스(000660), 현대일렉트릭(267260)",우위재평가/리밸런싱,"셀트리온(068270) 49.6%, 90d; SK하이닉스(000660) 2.7%, 60d; 현대일렉트릭(267260) 30.9%, 30d; 삼성전자(005930) 7.7%, 0d; HD현대중공업(329180) 9.1%, 0d"
2020-03-31,"SK이노베이션(096770), NAVER(035420)","현대일렉트릭(267260), SK하이닉스(000660), 셀트리온(068270)","HD현대중공업(329180), 삼성전자(005930)",우위재평가/리밸런싱,"HD현대중공업(329180) 28.6%, 30d; 삼성전자(005930) 24.7%, 30d; SK이노베이션(096770) 30.0%, 0d; NAVER(035420) 16.7%, 0d"
2020-04-30,"HD현대중공업(329180), 셀트리온(068270)",-,"NAVER(035420), SK이노베이션(096770), 삼성전자(005930)",우위재평가/리밸런싱,"NAVER(035420) 13.1%, 30d; SK이노베이션(096770) 47.7%, 30d; 삼성전자(005930) 6.5%, 60d; HD현대중공업(329180) 1.5%, 60d; 셀트리온(068270) 31.2%, 0d"
2020-05-31,"현대모비스(012330), KB금융(105560)",삼성전자(005930),"HD현대중공업(329180), 셀트리온(068270), SK이노베이션(096770), NAVER(035420)",우위재평가/리밸런싱,"HD현대중공업(329180) 25.1%, 90d; 셀트리온(068270) 2.6%, 30d; SK이노베이션(096770) 17.3%, 60d; NAVER(035420) 17.3%, 60d; 현대모비스(012330) 19.8%, 0d; KB금융(105560) 17.9%, 0d"
2020-06-30,"셀트리온(068270), LG화학(051910)","SK이노베이션(096770), 현대모비스(012330)","KB금융(105560), NAVER(035420), HD현대중공업(329180)",우위재평가/리밸런싱,"KB금융(105560) 0.8%, 30d; NAVER(035420) 11.7%, 90d; HD현대중공업(329180) 53.8%, 120d; 셀트리온(068270) 0.2%, 60d; LG화학(051910) 33.5%, 0d"
2020-07-31,"현대모비스(012330), 셀트리온(068270)",LG화학(051910),"HD현대중공업(329180), KB금융(105560), NAVER(035420)",우위재평가/리밸런싱,"HD현대중공업(329180) 24.9%, 150d; KB금융(105560) 18.1%, 60d; NAVER(035420) 5.4%, 120d; 현대모비스(012330) 26.8%, 0d; 셀트리온(068270) 24.8%, 90d"
2020-08-31,"HD현대중공업(329180), SK하이닉스(000660)","KB금융(105560), 현대모비스(012330)","NAVER(035420), 셀트리온(068270)",우위재평가/리밸런싱,"NAVER(035420) 3.3%, 150d; 셀트리온(068270) 20.9%, 120d; HD현대중공업(329180) 18.3%, 180d; SK하이닉스(000660) 57.5%, 0d"
2020-09-30,"KB금융(105560), HD현대중공업(329180)",SK하이닉스(000660),"NAVER(035420), 셀트리온(068270)",우위재평가/리밸런싱,"NAVER(035420) 45.8%, 180d; 셀트리온(068270) 11.4%, 150d; KB금융(105560) 3.2%, 0d; HD현대중공업(329180) 39.6%, 210d"
2020-10-31,HD현대중공업(329180),셀트리온(068270),"NAVER(035420), KB금융(105560)",우위재평가/리밸런싱,"NAVER(035420) 14.4%, 210d; KB금융(105560) 30.0%, 30d; HD현대중공업(329180) 55.6%, 240d"
2020-11-30,"현대일렉트릭(267260), 삼성전자(005930), 현대모비스(012330)",-,"KB금융(105560), NAVER(035420), HD현대중공업(329180)",우위재평가/리밸런싱,"KB금융(105560) 10.4%, 60d; NAVER(035420) 13.6%, 240d; HD현대중공업(329180) 31.7%, 270d; 현대일렉트릭(267260) 1.9%, 0d; 삼성전자(005930) 26.4%, 0d; 현대모비스(012330) 16.0%, 0d"
2020-12-31,"NAVER(035420), LG화학(051910)","KB금융(105560), 현대모비스(012330)","HD현대중공업(329180), 삼성전자(005930), 현대일렉트릭(267260)",우위재평가/리밸런싱,"HD현대중공업(329180) 6.4%, 300d; 삼성전자(005930) 32.2%, 30d; 현대일렉트릭(267260) 10.9%, 30d; NAVER(035420) 14.5%, 270d; LG화학(051910) 36.0%, 0d"
2021-01-31,"삼성바이오로직스(207940), SK이노베이션(096770)","NAVER(035420), HD현대중공업(329180)","현대일렉트릭(267260), 삼성전자(005930), LG화학(051910)",우위재평가/리밸런싱,"현대일렉트릭(267260) 1.1%, 60d; 삼성전자(005930) 5.4%, 60d; LG화학(051910) 55.0%, 30d; 삼성바이오로직스(207940) 4.9%, 0d; SK이노베이션(096770) 33.6%, 0d"
2021-02-28,"현대모비스(012330), SK이노베이션(096770)",삼성바이오로직스(207940),"삼성전자(005930), 현대일렉트릭(267260), LG화학(051910)",우위재평가/리밸런싱,"삼성전자(005930) 13.9%, 90d; 현대일렉트릭(267260) 0.5%, 90d; LG화학(051910) 21.9%, 60d; 현대모비스(012330) 18.8%, 0d; SK이노베이션(096770) 44.9%, 30d"
2021-03-31,"SK이노베이션(096770), 셀트리온(068270)",현대일렉트릭(267260),"삼성전자(005930), LG화학(051910), 현대모비스(012330)",우위재평가/리밸런싱,"삼성전자(005930) 16.2%, 120d; LG화학(051910) 18.6%, 90d; 현대모비스(012330) 14.1%, 30d; SK이노베이션(096770) 49.6%, 60d; 셀트리온(068270) 1.5%, 0d"
2021-04-30,"SK텔레콤(017670), 현대일렉트릭(267260)","삼성전자(005930), 현대모비스(012330)","SK이노베이션(096770), 셀트리온(068270), LG화학(051910)",우위재평가/리밸런싱,"SK이노베이션(096770) 69.3%, 90d; 셀트리온(068270) 2.1%, 30d; LG화학(051910) 11.9%, 120d; SK텔레콤(017670) 14.5%, 0d; 현대일렉트릭(267260) 2.2%, 0d"
2021-05-31,SK텔레콤(017670),"현대일렉트릭(267260), 셀트리온(068270)","LG화학(051910), SK이노베이션(096770)",우위재평가/리밸런싱,"LG화학(051910) 23.0%, 150d; SK이노베이션(096770) 61.4%, 120d; SK텔레콤(017670) 15.6%, 30d"
2021-06-30,"HD현대중공업(329180), 셀트리온(068270)",LG화학(051910),"SK텔레콤(017670), SK이노베이션(096770)",우위재평가/리밸런싱,"SK텔레콤(017670) 23.5%, 60d; SK이노베이션(096770) 14.8%, 150d; HD현대중공업(329180) 25.1%, 0d; 셀트리온(068270) 36.6%, 0d"
2021-07-31,"현대일렉트릭(267260), 현대모비스(012330)",셀트리온(068270),"HD현대중공업(329180), SK텔레콤(017670), SK이노베이션(096770)",우위재평가/리밸런싱,"HD현대중공업(329180) 13.9%, 30d; SK텔레콤(017670) 21.4%, 90d; SK이노베이션(096770) 4.1%, 180d; 현대일렉트릭(267260) 58.4%, 0d; 현대모비스(012330) 2.2%, 0d"
2021-08-31,"SK이노베이션(096770), 셀트리온(068270)",HD현대중공업(329180),"현대일렉트릭(267260), SK텔레콤(017670), 현대모비스(012330)",우위재평가/리밸런싱,"현대일렉트릭(267260) 11.2%, 30d; SK텔레콤(017670) 28.2%, 120d; 현대모비스(012330) 42.8%, 30d; SK이노베이션(096770) 12.1%, 210d; 셀트리온(068270) 5.7%, 0d"
2021-09-30,KB금융(105560),"현대일렉트릭(267260), SK이노베이션(096770), SK텔레콤(017670)","현대모비스(012330), 셀트리온(068270)",우위재평가/리밸런싱,"현대모비스(012330) 63.2%, 60d; 셀트리온(068270) 33.0%, 30d; KB금융(105560) 3.8%, 0d"
2021-10-31,셀트리온(068270),-,"현대모비스(012330), KB금융(105560)",우위재평가/리밸런싱,"현대모비스(012330) 51.7%, 90d; KB금융(105560) 32.2%, 30d; 셀트리온(068270) 16.1%, 60d"
2021-11-30,"HD현대중공업(329180), SK이노베이션(096770)",현대모비스(012330),"셀트리온(068270), KB금융(105560)",우위재평가/리밸런싱,"셀트리온(068270) 52.9%, 90d; KB금융(105560) 13.7%, 60d; HD현대중공업(329180) 20.4%, 0d; SK이노베이션(096770) 13.0%, 0d"
2021-12-31,"LG화학(051910), 현대일렉트릭(267260)",-,"HD현대중공업(329180), 셀트리온(068270), SK이노베이션(096770), KB금융(105560)",우위재평가/리밸런싱,"HD현대중공업(329180) 1.7%, 30d; 셀트리온(068270) 4.6%, 120d; SK이노베이션(096770) 7.9%, 30d; KB금융(105560) 56.0%, 90d; LG화학(051910) 15.2%, 0d; 현대일렉트릭(267260) 14.6%, 0d"
2022-01-31,"현대모비스(012330), 셀트리온(068270)",HD현대중공업(329180),"현대일렉트릭(267260), KB금융(105560), SK이노베이션(096770), LG화학(051910)",우위재평가/리밸런싱,"현대일렉트릭(267260) 17.3%, 30d; KB금융(105560) 4.8%, 120d; SK이노베이션(096770) 22.5%, 60d; LG화학(051910) 7.6%, 30d; 현대모비스(012330) 1.2%, 0d; 셀트리온(068270) 46.6%, 150d"
2022-02-28,"KB금융(105560), 삼성바이오로직스(207940)","현대일렉트릭(267260), SK이노베이션(096770)","셀트리온(068270), 현대모비스(012330), LG화학(051910)",우위재평가/리밸런싱,"셀트리온(068270) 9.1%, 180d; 현대모비스(012330) 0.2%, 30d; LG화학(051910) 18.9%, 60d; KB금융(105560) 70.6%, 150d; 삼성바이오로직스(207940) 1.2%, 0d"
2022-03-31,"HD현대중공업(329180), KB금융(105560)",삼성바이오로직스(207940),"현대모비스(012330), 셀트리온(068270), LG화학(051910)",우위재평가/리밸런싱,"현대모비스(012330) 0.2%, 60d; 셀트리온(068270) 28.6%, 210d; LG화학(051910) 12.2%, 90d; HD현대중공업(329180) 47.3%, 0d; KB금융(105560) 11.7%, 180d"
2022-04-30,현대모비스(012330),"LG화학(051910), HD현대중공업(329180)","셀트리온(068270), KB금융(105560)",우위재평가/리밸런싱,"셀트리온(068270) 2.1%, 240d; KB금융(105560) 92.3%, 210d; 현대모비스(012330) 5.6%, 90d"
