rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot,soft_stage,cooldown_guard,monthly_replacement_cap
2016-11-30,현대모비스(012330),현대모비스(012330),"삼성전자(005930), 셀트리온(068270), SK하이닉스(000660), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 7.7%, 210d; 셀트리온(068270) 52.7%, 300d; SK하이닉스(000660) 21.3%, 210d; KB금융(105560) 5.5%, 30d; 현대모비스(012330) 12.8%, 120d",Y,N,20%
2016-12-31,삼성바이오로직스(207940),SK하이닉스(000660),"삼성전자(005930), 셀트리온(068270), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 9.9%, 240d; 셀트리온(068270) 0.0%, 330d; KB금융(105560) 15.1%, 60d; 현대모비스(012330) 58.5%, 0d; 삼성바이오로직스(207940) 16.5%, 0d",Y,Y,20%
2017-01-31,-,삼성바이오로직스(207940),"삼성전자(005930), 셀트리온(068270), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 43.1%, 270d; 셀트리온(068270) 1.4%, 360d; KB금융(105560) 28.2%, 90d; 현대모비스(012330) 27.3%, 30d",Y,N,20%
2017-02-28,SK이노베이션(096770),현대모비스(012330),"삼성전자(005930), 셀트리온(068270), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 6.9%, 300d; 셀트리온(068270) 7.3%, 390d; KB금융(105560) 56.0%, 120d; SK이노베이션(096770) 29.8%, 0d",Y,N,20%
2017-03-31,삼성바이오로직스(207940),-,"삼성전자(005930), SK이노베이션(096770), 셀트리온(068270), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 10.6%, 330d; SK이노베이션(096770) 5.3%, 30d; 셀트리온(068270) 19.8%, 420d; KB금융(105560) 23.1%, 150d; 삼성바이오로직스(207940) 41.2%, 0d",N,N,20%
2017-04-30,삼성바이오로직스(207940),삼성바이오로직스(207940),"삼성전자(005930), 셀트리온(068270), SK이노베이션(096770), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 20.6%, 360d; 셀트리온(068270) 23.8%, 450d; SK이노베이션(096770) 44.7%, 60d; KB금융(105560) 0.3%, 180d; 삼성바이오로직스(207940) 10.6%, 30d",Y,N,20%
2017-05-31,현대일렉트릭(267260),-,"삼성전자(005930), 삼성바이오로직스(207940), 셀트리온(068270), SK이노베이션(096770), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 38.1%, 390d; 삼성바이오로직스(207940) 20.1%, 0d; 셀트리온(068270) 1.6%, 480d; SK이노베이션(096770) 9.5%, 90d; KB금융(105560) 29.7%, 210d; 현대일렉트릭(267260) 1.0%, 0d",N,Y,20%
2017-06-30,LG화학(051910),삼성바이오로직스(207940),"삼성전자(005930), 셀트리온(068270), SK이노베이션(096770), KB금융(105560), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 14.7%, 420d; 셀트리온(068270) 4.3%, 510d; SK이노베이션(096770) 20.4%, 120d; KB금융(105560) 0.1%, 240d; 현대일렉트릭(267260) 18.1%, 30d; LG화학(051910) 42.4%, 0d",Y,N,20%
2017-07-31,-,삼성전자(005930),"셀트리온(068270), LG화학(051910), SK이노베이션(096770), KB금융(105560), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 34.2%, 540d; LG화학(051910) 6.8%, 30d; SK이노베이션(096770) 13.0%, 150d; KB금융(105560) 7.3%, 270d; 현대일렉트릭(267260) 38.7%, 60d",Y,N,20%
2017-08-31,NAVER(035420),셀트리온(068270),"LG화학(051910), SK이노베이션(096770), KB금융(105560), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 7.4%, 60d; SK이노베이션(096770) 21.1%, 180d; KB금융(105560) 41.2%, 300d; 현대일렉트릭(267260) 9.5%, 90d; NAVER(035420) 20.8%, 0d",Y,N,20%
2017-09-30,SK하이닉스(000660),KB금융(105560),"LG화학(051910), SK이노베이션(096770), NAVER(035420), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 28.5%, 90d; SK이노베이션(096770) 34.2%, 210d; NAVER(035420) 3.3%, 30d; 현대일렉트릭(267260) 21.3%, 120d; SK하이닉스(000660) 12.7%, 0d",Y,N,20%
2017-10-31,-,현대일렉트릭(267260),"LG화학(051910), SK하이닉스(000660), SK이노베이션(096770), NAVER(035420)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 21.6%, 120d; SK하이닉스(000660) 46.1%, 30d; SK이노베이션(096770) 14.4%, 240d; NAVER(035420) 17.9%, 60d",Y,N,20%
2017-11-30,-,LG화학(051910),"SK하이닉스(000660), SK이노베이션(096770), NAVER(035420)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 34.4%, 60d; SK이노베이션(096770) 27.7%, 270d; NAVER(035420) 37.9%, 90d",Y,N,20%
2017-12-31,셀트리온(068270),SK하이닉스(000660),"SK이노베이션(096770), NAVER(035420)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK이노베이션(096770) 46.1%, 300d; NAVER(035420) 45.6%, 120d; 셀트리온(068270) 8.3%, 0d",Y,N,20%
2018-01-31,"현대일렉트릭(267260), 삼성전자(005930), SK텔레콤(017670)",-,"SK이노베이션(096770), NAVER(035420), 셀트리온(068270)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK이노베이션(096770) 8.5%, 330d; NAVER(035420) 36.7%, 150d; 셀트리온(068270) 11.2%, 30d; 현대일렉트릭(267260) 13.4%, 0d; 삼성전자(005930) 4.9%, 0d; SK텔레콤(017670) 25.3%, 0d",N,N,20%
2018-02-28,-,삼성전자(005930),"셀트리온(068270), SK이노베이션(096770), NAVER(035420), SK텔레콤(017670), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 17.4%, 60d; SK이노베이션(096770) 49.8%, 360d; NAVER(035420) 1.7%, 180d; SK텔레콤(017670) 20.4%, 30d; 현대일렉트릭(267260) 10.7%, 30d",Y,N,20%
2018-03-31,LG화학(051910),현대일렉트릭(267260),"셀트리온(068270), SK이노베이션(096770), NAVER(035420), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 10.0%, 90d; SK이노베이션(096770) 12.0%, 390d; NAVER(035420) 3.1%, 210d; SK텔레콤(017670) 23.0%, 60d; LG화학(051910) 51.9%, 0d",Y,N,20%
2018-04-30,-,SK이노베이션(096770),"셀트리온(068270), LG화학(051910), NAVER(035420), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 78.7%, 120d; LG화학(051910) 16.5%, 30d; NAVER(035420) 2.4%, 240d; SK텔레콤(017670) 2.4%, 90d",Y,N,20%
2018-05-31,삼성전자(005930),-,"LG화학(051910), NAVER(035420), 셀트리온(068270), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 33.7%, 60d; NAVER(035420) 8.6%, 270d; 셀트리온(068270) 3.0%, 150d; SK텔레콤(017670) 37.4%, 120d; 삼성전자(005930) 17.3%, 0d",N,N,20%
2018-06-30,-,SK텔레콤(017670),"삼성전자(005930), 셀트리온(068270), LG화학(051910), NAVER(035420)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 13.6%, 30d; 셀트리온(068270) 5.7%, 180d; LG화학(051910) 63.7%, 90d; NAVER(035420) 17.0%, 300d",Y,N,20%
2018-07-31,"KB금융(105560), SK하이닉스(000660)",-,"LG화학(051910), 삼성전자(005930), NAVER(035420), 셀트리온(068270)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 46.0%, 120d; 삼성전자(005930) 1.3%, 60d; NAVER(035420) 3.7%, 330d; 셀트리온(068270) 20.5%, 210d; KB금융(105560) 11.1%, 0d; SK하이닉스(000660) 17.4%, 0d",N,N,20%
2018-08-31,현대모비스(012330),셀트리온(068270),"삼성전자(005930), LG화학(051910), SK하이닉스(000660), KB금융(105560), NAVER(035420)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 19.1%, 90d; LG화학(051910) 7.7%, 150d; SK하이닉스(000660) 5.8%, 30d; KB금융(105560) 28.7%, 30d; NAVER(035420) 31.0%, 360d; 현대모비스(012330) 7.7%, 0d",Y,N,20%
2018-09-30,현대일렉트릭(267260),LG화학(051910),"삼성전자(005930), SK하이닉스(000660), KB금융(105560), NAVER(035420), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 4.3%, 120d; SK하이닉스(000660) 9.8%, 60d; KB금융(105560) 7.1%, 60d; NAVER(035420) 60.4%, 390d; 현대모비스(012330) 11.4%, 30d; 현대일렉트릭(267260) 7.0%, 0d",Y,N,20%
2018-10-31,-,KB금융(105560),"삼성전자(005930), SK하이닉스(000660), NAVER(035420), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 0.6%, 150d; SK하이닉스(000660) 25.6%, 90d; NAVER(035420) 18.6%, 420d; 현대모비스(012330) 49.9%, 60d; 현대일렉트릭(267260) 5.3%, 30d",Y,N,20%
2018-11-30,LG화학(051910),-,"삼성전자(005930), SK하이닉스(000660), NAVER(035420), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 5.8%, 180d; SK하이닉스(000660) 5.6%, 120d; NAVER(035420) 11.4%, 450d; 현대모비스(012330) 17.4%, 90d; 현대일렉트릭(267260) 21.2%, 60d; LG화학(051910) 38.6%, 0d",N,N,20%
2018-12-31,KB금융(105560),NAVER(035420),"삼성전자(005930), LG화학(051910), SK하이닉스(000660), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 46.7%, 210d; LG화학(051910) 18.2%, 30d; SK하이닉스(000660) 22.0%, 150d; 현대모비스(012330) 9.7%, 120d; 현대일렉트릭(267260) 0.8%, 90d; KB금융(105560) 2.6%, 0d",Y,N,20%
2019-01-31,-,SK하이닉스(000660),"삼성전자(005930), LG화학(051910), KB금융(105560), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 2.4%, 240d; LG화학(051910) 30.1%, 60d; KB금융(105560) 5.1%, 30d; 현대모비스(012330) 33.6%, 150d; 현대일렉트릭(267260) 28.8%, 120d",Y,N,20%
2019-02-28,SK하이닉스(000660),-,"삼성전자(005930), LG화학(051910), KB금융(105560), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 41.7%, 270d; LG화학(051910) 14.6%, 90d; KB금융(105560) 6.3%, 60d; 현대모비스(012330) 0.2%, 180d; 현대일렉트릭(267260) 6.1%, 150d; SK하이닉스(000660) 31.1%, 0d",N,N,20%
2019-03-31,-,현대일렉트릭(267260),"삼성전자(005930), LG화학(051910), SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 1.6%, 300d; LG화학(051910) 14.8%, 120d; SK하이닉스(000660) 28.9%, 30d; KB금융(105560) 51.7%, 90d; 현대모비스(012330) 3.0%, 210d",Y,N,20%
2019-04-30,-,LG화학(051910),"삼성전자(005930), SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 63.7%, 330d; SK하이닉스(000660) 4.9%, 60d; KB금융(105560) 6.7%, 120d; 현대모비스(012330) 24.7%, 240d",Y,N,20%
2019-05-31,"NAVER(035420), 현대일렉트릭(267260)",-,"SK하이닉스(000660), 삼성전자(005930), 현대모비스(012330), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 5.6%, 90d; 삼성전자(005930) 5.2%, 360d; 현대모비스(012330) 30.9%, 270d; KB금융(105560) 1.0%, 150d; NAVER(035420) 5.0%, 0d; 현대일렉트릭(267260) 52.3%, 0d",N,N,20%
2019-06-30,-,현대일렉트릭(267260),"삼성전자(005930), SK하이닉스(000660), KB금융(105560), NAVER(035420), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 13.8%, 390d; SK하이닉스(000660) 15.2%, 120d; KB금융(105560) 1.4%, 180d; NAVER(035420) 31.7%, 30d; 현대모비스(012330) 37.9%, 300d",Y,N,20%
2019-07-31,LG화학(051910),-,"삼성전자(005930), SK하이닉스(000660), KB금융(105560), NAVER(035420), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 28.0%, 420d; SK하이닉스(000660) 9.2%, 150d; KB금융(105560) 9.9%, 210d; NAVER(035420) 6.2%, 60d; 현대모비스(012330) 9.9%, 330d; LG화학(051910) 36.8%, 0d",N,N,20%
2019-08-31,삼성바이오로직스(207940),삼성전자(005930),"LG화학(051910), SK하이닉스(000660), KB금융(105560), NAVER(035420), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"LG화학(051910) 13.5%, 30d; SK하이닉스(000660) 17.3%, 180d; KB금융(105560) 26.8%, 240d; NAVER(035420) 5.9%, 90d; 현대모비스(012330) 26.7%, 360d; 삼성바이오로직스(207940) 9.8%, 0d",Y,N,20%
2019-09-30,-,NAVER(035420),"삼성바이오로직스(207940), LG화학(051910), SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성바이오로직스(207940) 16.6%, 30d; LG화학(051910) 16.5%, 60d; SK하이닉스(000660) 26.1%, 210d; KB금융(105560) 4.5%, 270d; 현대모비스(012330) 36.3%, 390d",Y,N,20%
2019-10-31,셀트리온(068270),-,"삼성바이오로직스(207940), LG화학(051910), SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성바이오로직스(207940) 48.3%, 60d; LG화학(051910) 0.8%, 90d; SK하이닉스(000660) 9.1%, 240d; KB금융(105560) 8.3%, 300d; 현대모비스(012330) 28.9%, 420d; 셀트리온(068270) 4.6%, 0d",N,N,20%
2019-11-30,SK텔레콤(017670),SK하이닉스(000660),"삼성바이오로직스(207940), 셀트리온(068270), LG화학(051910), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성바이오로직스(207940) 11.6%, 90d; 셀트리온(068270) 59.5%, 30d; LG화학(051910) 9.3%, 120d; KB금융(105560) 1.8%, 330d; 현대모비스(012330) 4.6%, 450d; SK텔레콤(017670) 13.2%, 0d",Y,N,20%
2019-12-31,-,KB금융(105560),"셀트리온(068270), 삼성바이오로직스(207940), LG화학(051910), SK텔레콤(017670), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 6.0%, 60d; 삼성바이오로직스(207940) 50.4%, 120d; LG화학(051910) 34.1%, 150d; SK텔레콤(017670) 3.8%, 30d; 현대모비스(012330) 5.7%, 480d",Y,N,20%
2020-01-31,KB금융(105560),셀트리온(068270),"삼성바이오로직스(207940), LG화학(051910), SK텔레콤(017670), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성바이오로직스(207940) 10.6%, 150d; LG화학(051910) 19.8%, 180d; SK텔레콤(017670) 0.5%, 60d; 현대모비스(012330) 68.6%, 510d; KB금융(105560) 0.5%, 0d",Y,N,20%
2020-02-29,-,LG화학(051910),"삼성바이오로직스(207940), KB금융(105560), SK텔레콤(017670), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성바이오로직스(207940) 0.0%, 180d; KB금융(105560) 41.2%, 30d; SK텔레콤(017670) 12.7%, 90d; 현대모비스(012330) 46.1%, 540d",Y,N,20%
2020-03-31,SK텔레콤(017670),SK텔레콤(017670),"현대모비스(012330), KB금융(105560), 삼성바이오로직스(207940)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"현대모비스(012330) 37.3%, 570d; KB금융(105560) 9.8%, 60d; 삼성바이오로직스(207940) 45.3%, 210d; SK텔레콤(017670) 7.6%, 120d",Y,N,20%
2020-04-30,"셀트리온(068270), HD현대중공업(329180)",-,"현대모비스(012330), 삼성바이오로직스(207940), SK텔레콤(017670), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"현대모비스(012330) 13.0%, 600d; 삼성바이오로직스(207940) 8.4%, 240d; SK텔레콤(017670) 11.0%, 0d; KB금융(105560) 0.8%, 90d; 셀트리온(068270) 43.2%, 0d; HD현대중공업(329180) 23.6%, 0d",N,Y,20%
2020-05-31,-,현대모비스(012330),"셀트리온(068270), 삼성바이오로직스(207940), HD현대중공업(329180), KB금융(105560), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 6.3%, 30d; 삼성바이오로직스(207940) 19.7%, 270d; HD현대중공업(329180) 13.6%, 30d; KB금융(105560) 44.0%, 120d; SK텔레콤(017670) 16.4%, 30d",Y,N,20%
2020-06-30,현대모비스(012330),삼성바이오로직스(207940),"셀트리온(068270), HD현대중공업(329180), KB금융(105560), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 23.4%, 60d; HD현대중공업(329180) 26.2%, 60d; KB금융(105560) 6.4%, 150d; SK텔레콤(017670) 25.0%, 60d; 현대모비스(012330) 19.0%, 0d",Y,N,20%
2020-07-31,-,현대모비스(012330),"셀트리온(068270), HD현대중공업(329180), KB금융(105560), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 20.8%, 90d; HD현대중공업(329180) 43.7%, 90d; KB금융(105560) 13.7%, 180d; SK텔레콤(017670) 21.8%, 90d",Y,N,20%
2020-08-31,삼성전자(005930),-,"HD현대중공업(329180), 셀트리온(068270), SK텔레콤(017670), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"HD현대중공업(329180) 22.2%, 120d; 셀트리온(068270) 42.4%, 120d; SK텔레콤(017670) 5.6%, 120d; KB금융(105560) 16.4%, 210d; 삼성전자(005930) 13.4%, 0d",N,N,20%
2020-09-30,SK이노베이션(096770),HD현대중공업(329180),"삼성전자(005930), 셀트리온(068270), KB금융(105560), SK텔레콤(017670)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 10.5%, 30d; 셀트리온(068270) 41.3%, 150d; KB금융(105560) 0.8%, 240d; SK텔레콤(017670) 27.2%, 150d; SK이노베이션(096770) 20.2%, 0d",Y,N,20%
2020-10-31,HD현대중공업(329180),SK텔레콤(017670),"삼성전자(005930), 셀트리온(068270), SK이노베이션(096770), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 40.3%, 60d; 셀트리온(068270) 2.5%, 180d; SK이노베이션(096770) 2.1%, 30d; KB금융(105560) 15.5%, 270d; HD현대중공업(329180) 39.6%, 0d",Y,N,20%
2020-11-30,SK하이닉스(000660),KB금융(105560),"삼성전자(005930), 셀트리온(068270), HD현대중공업(329180), SK이노베이션(096770)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 9.6%, 90d; 셀트리온(068270) 8.2%, 210d; HD현대중공업(329180) 31.3%, 30d; SK이노베이션(096770) 26.0%, 60d; SK하이닉스(000660) 24.9%, 0d",Y,N,20%
2020-12-31,현대모비스(012330),-,"삼성전자(005930), 셀트리온(068270), HD현대중공업(329180), SK하이닉스(000660), SK이노베이션(096770)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 12.9%, 120d; 셀트리온(068270) 0.4%, 240d; HD현대중공업(329180) 27.3%, 60d; SK하이닉스(000660) 27.8%, 30d; SK이노베이션(096770) 16.1%, 90d; 현대모비스(012330) 15.5%, 0d",N,N,20%
2021-01-31,현대일렉트릭(267260),SK이노베이션(096770),"삼성전자(005930), 셀트리온(068270), HD현대중공업(329180), SK하이닉스(000660), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"삼성전자(005930) 17.7%, 150d; 셀트리온(068270) 0.9%, 270d; HD현대중공업(329180) 11.2%, 90d; SK하이닉스(000660) 47.5%, 60d; 현대모비스(012330) 7.7%, 30d; 현대일렉트릭(267260) 15.0%, 0d",Y,N,20%
2021-02-28,-,삼성전자(005930),"셀트리온(068270), HD현대중공업(329180), SK하이닉스(000660), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 6.9%, 300d; HD현대중공업(329180) 31.5%, 120d; SK하이닉스(000660) 48.4%, 90d; 현대모비스(012330) 11.9%, 60d; 현대일렉트릭(267260) 1.3%, 30d",Y,N,20%
2021-03-31,NAVER(035420),HD현대중공업(329180),"셀트리온(068270), SK하이닉스(000660), 현대모비스(012330), 현대일렉트릭(267260)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 13.4%, 330d; SK하이닉스(000660) 51.6%, 120d; 현대모비스(012330) 24.8%, 90d; 현대일렉트릭(267260) 4.2%, 60d; NAVER(035420) 6.0%, 0d",Y,N,20%
2021-04-30,KB금융(105560),현대일렉트릭(267260),"셀트리온(068270), SK하이닉스(000660), NAVER(035420), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 40.7%, 360d; SK하이닉스(000660) 4.8%, 150d; NAVER(035420) 21.0%, 30d; 현대모비스(012330) 12.4%, 120d; KB금융(105560) 21.1%, 0d",Y,N,20%
2021-05-31,-,NAVER(035420),"셀트리온(068270), SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"셀트리온(068270) 19.1%, 390d; SK하이닉스(000660) 11.2%, 180d; KB금융(105560) 46.5%, 30d; 현대모비스(012330) 23.2%, 150d",Y,N,20%
2021-06-30,삼성바이오로직스(207940),셀트리온(068270),"SK하이닉스(000660), KB금융(105560), 현대모비스(012330)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 39.3%, 210d; KB금융(105560) 12.7%, 60d; 현대모비스(012330) 41.7%, 180d; 삼성바이오로직스(207940) 6.3%, 0d",Y,N,20%
2021-07-31,-,현대모비스(012330),"SK하이닉스(000660), KB금융(105560), 삼성바이오로직스(207940)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 14.9%, 240d; KB금융(105560) 58.6%, 90d; 삼성바이오로직스(207940) 26.5%, 30d",Y,N,20%
2021-08-31,삼성전자(005930),삼성바이오로직스(207940),"SK하이닉스(000660), KB금융(105560)",hold-priority: edge+persist+confidence+soft+cooldown+cap20%,"SK하이닉스(000660) 20.7%, 270d; KB금융(105560) 57.5%, 120d; 삼성전자(005930) 21.8%, 0d",Y,N,20%
